sentence_id,token,tag
1,Proficient,O
1,in,O
1,Java,B-SKILL
1,Development,I-SKILL
1,and,O
1,experienced,O
1,with,O
1,Docker,B-TOOL
1,.,O
2,Seeking,O
2,a,O
2,candidate,O
2,with,O
2,strong,O
2,skills,O
2,in,O
2,Data,B-SKILL
2,Structures,I-SKILL
2,and,O
2,Algorithms,I-SKILL
2,.,O
3,Experienced,O
3,in,O
3,Cloud,B-SKILL
3,Computing,I-SKILL
3,and,O
3,AWS,I-SKILL
3,Services,I-SKILL
3,.,O
4,Skilled,O
4,in,O
4,DevOps,B-SKILL
4,Practices,I-SKILL
4,and,O
4,familiar,O
4,with,O
4,Kubernetes,B-SKILL
4,.,O
5,Knowledgeable,O
5,in,O
5,Cybersecurity,B-SKILL
5,and,O
5,Penetration,B-SKILL
5,Testing,I-SKILL
5,.,O
6,Proficient,O
6,in,O
6,Front-End,B-SKILL
6,Development,I-SKILL
6,and,O
6,React.js,I-SKILL
6,framework,I-SKILL
6,.,O
7,Experienced,O
7,with,O
7,Full,B-SKILL
7,Stack,I-SKILL
7,Development,I-SKILL
7,and,O
7,Microservices,B-SKILL
7,Architecture,I-SKILL
7,.,O
8,Familiar,O
8,with,O
8,REST,B-SKILL
8,APIs,I-SKILL
8,and,O
8,GraphQL,B-SKILL
8,for,O
8,Data,B-SKILL
8,Visualization,I-SKILL
8,.,O
9,Skilled,O
9,in,O
9,Mobile,B-SKILL
9,App,I-SKILL
9,Development,I-SKILL
9,and,O
9,Android,I-SKILL
9,Development,I-SKILL
9,.,O
10,Proficient,O
10,in,O
10,Git,B-TOOL
10,Version,I-TOOL
10,Control,I-TOOL
10,and,O
10,Jenkins,B-TOOL
10,CI,I-TOOL
10,.,O
11,Experienced,O
11,in,O
11,Software,B-SKILL
11,Architecture,I-SKILL
11,and,O
11,System,B-SKILL
11,Design,I-SKILL
11,.,O
12,Knowledgeable,O
12,in,O
12,Hadoop,B-TOOL
12,and,O
12,Apache,B-TOOL
12,Spark,I-TOOL
12,for,O
12,Big,B-SKILL
12,Data,I-SKILL
12,Analytics,I-SKILL
12,.,O
13,Familiar,O
13,with,O
13,Agile,B-SKILL
13,Methodology,I-SKILL
