sentence_id,labeled_tokens
1,Proficient/O in/O Java/B-SKILL Development/I-SKILL and/O experienced/O with/O Docker/B-TOOL ./O
2,Seeking/O a/O candidate/O with/O strong/O skills/O in/O Data/B-SKILL Structures/I-SKILL and/O Algorithms/I-SKILL ./O
3,Experienced/O in/O Cloud/B-SKILL Computing/I-SKILL and/O AWS/I-SKILL Services/I-SKILL ./O
4,Skilled/O in/O DevOps/B-SKILL Practices/I-SKILL and/O familiar/O with/O Kubernetes/B-SKILL ./O
5,Knowledgeable/O in/O Cybersecurity/B-SKILL and/O Penetration/B-SKILL Testing/I-SKILL ./O
6,Proficient/O in/O Front-End/B-SKILL Development/I-SKILL and/O React.js/I-SKILL framework/I-SKILL ./O
7,Experienced/O with/O Full/B-SKILL Stack/I-SKILL Development/I-SKILL and/O Microservices/B-SKILL Architecture/I-SKILL ./O
8,Familiar/O with/O REST/B-SKILL APIs/I-SKILL and/O GraphQL/B-SKILL for/O Data/B-SKILL Visualization/I-SKILL ./O
9,Skilled/O in/O Mobile/B-SKILL App/I-SKILL Development/I-SKILL and/O Android/I-SKILL Development/I-SKILL ./O
10,Proficient/O in/O Git/B-TOOL Version/I-TOOL Control/I-TOOL and/O Jenkins/B-TOOL CI/I-TOOL ./O
11,Experienced/O in/O Software/B-SKILL Architecture/I-SKILL and/O System/B-SKILL Design/I-SKILL ./O
12,Knowledgeable/O in/O Hadoop/B-TOOL and/O Apache/B-TOOL Spark/I-TOOL for/O Big/B-SKILL Data/I-SKILL Analytics/I-SKILL ./O
13,Familiar/O with/O Agile/B-SKILL Methodology/I-SKILL and/O Scrum/B-SKILL Framework/I-SKILL ./O
14,Skilled/O in/O Python/B-SKILL Programming/I-SKILL and/O TensorFlow/B-SKILL projects/I-SKILL ./O
15,Proficient/O in/O Blockchain/B-SKILL Development/I-SKILL and/O Smart/B-SKILL Contracts/I-SKILL ./O
16,Experienced/O with/O Natural/B-SKILL Language/I-SKILL Processing/I-SKILL and/O Deep/B-SKILL Learning/I-SKILL ./O
